,neighbors
67,"['13071000001' '13071000010' '13071000013' '13071000017' '13071000011'
 '13071000021']"
68,"['13071000015' '13071000019' '1307500000L' '130750000RB' '13071000009'
 '13071000022']"
69,"['13015000003' '13015000016' '13015000004' '13015000018' '1322300001C'
 '1306700MS01' '13015000002' '1322300002B' '13015000006']"
70,['13071000008' '13071000016' '13071000002' '13071000017' '13071000011']
71,"['13071000023' '13071000002' '13071000019' '13071000017' '13071000020'
 '13071000014' '130750000NL' '130750000RB']"
72,"['13133000008' '13133000006' '13237000105' '1314100002A' '1314100001B'
 '1314100003C' '1314100003A' '13265000601' '13237000106']"
73,"['13151000061' '13151000051' '13151000034' '13151000048' '13151000029'
 '13151000049']"
74,"['13209000007' '13161000301' '13161000100' '13161000201' '1300100001B'
 '13279000043' '1300100005B' '1300100001C']"
75,"['13311000081' '13085000003' '13085000002' '13139000015' '13139000014'
 '13085000001' '13291000011' '13139000027' '13311000021' '13291000005'
 '13311000101' '1311100SKEN' '13139000016']"
76,['13151000052' '13151000061' '13151000037' '13151000062' '13151000049']
77,['13151000035' '13151000062' '13151000049' '13151000036' '13151000026']
78,['13275000108' '13275000107' '13275000118' '13275000119']
79,"['13275000110' '13275000107' '13275000118' '13275000103' '13275000102'
 '13275000113' '13275000101']"
80,['13275000120' '13275000105' '13275000107' '13275000118' '13275000119']
81,"['13173000001' '13003000002' '13003000003' '1306500000H' '13069000001'
 '13003000004' '130650000AB']"
82,"['13003000001' '1306500000H' '13069000005' '13069000001' '13299000408'
 '13299000404']"
83,"['130910EDDIN' '130910MULLI' '13153000VHS' '132890000HV' '13175000014'
 '132350ANNEX' '1328900SG/T' '130910YONKE' '13175000013' '13175000012'
 '130910EMPIR' '13319000011']"
84,"['1322900004C' '1300100004B' '1300100005B' '1300100004D' '13069000005'
 '13299000404' '13069000006' '1322900004B' '13161000302' '1322900004D'
 '13299000405']"
85,"['13175000004' '13175000015' '13175000016' '13175000003' '13175000021'
 '13175000005' '13175000013' '13175000012']"
86,['13175000022' '13175000003' '13175000021' '13175000005']
87,"['1315300HEFS' '13261000029' '13093000005' '13093000008' '13093000010'
 '13193000005']"
88,"['130810CORDE' '130810LISTO' '1331500003A' '132350ANNEX' '13261000015'
 '13093000005' '13093000008' '1331500002B' '13093000010' '13261000028'
 '130810CONEY']"
89,['13027001199' '13027001230' '13275000102' '13275000101' '13027000659']
90,"['13185000005' '13185000007' '13027001402' '13027000660' '13027001230'
 '13027001650' '13027000659']"
91,"['13185000001' '13185000005' '13027001199' '13027001230' '13027001712'
 '13071000020' '130750000NL' '13027001650']"
92,"['13151000028' '13151000035' '13151000037' '13151000060' '13151000034'
 '13151000049']"
