,neighbors
85,['04003000027' '04003000033' '04003000037' '04003000039']
86,"['04003000004' '04003000008' '04003000017' '04003000021' '04003000024'
 '04003000035' '04003000045' '04003000046']"
87,"['04003000008' '04003000013' '04003000017' '04003000022' '04003000025'
 '04003000044']"
88,"['04003000002' '04003000016' '04003000024' '04003000031' '04003000035'
 '04003000039' '04003000044' '04019000165' '04023000006']"
89,"['04003000007' '04003000008' '04003000021' '04003000022' '04003000025'
 '04003000048' '04003000049' '04009000013']"
90,['04003000021' '04003000047' '04003000049' '04009000013']
91,['04003000047' '04003000048']
92,"['04005000002' '04005000003' '04005000011' '04005000012' '04005000014'
 '04005000015']"
93,"['04005000001' '04005000003' '04005000004' '04005000005' '04005000008'
 '04005000015']"
94,"['04005000001' '04005000002' '04005000004' '04005000006' '04005000012'
 '04005000014']"
95,"['04005000002' '04005000003' '04005000005' '04005000006' '04005000056'
 '04005000084']"
96,"['04005000002' '04005000004' '04005000008' '04005000051' '04005000055'
 '04005000056' '04005000084']"
97,"['04005000003' '04005000004' '04005000007' '04005000009' '04005000012'
 '04005000021' '04005000084']"
98,['04005000006' '04005000009' '04005000020' '04005000021']
99,['04005000002' '04005000005' '04005000015' '04005000016' '04005000051']
100,['04005000006' '04005000007' '04005000010' '04005000012' '04005000020']
101,['04005000009' '04005000012' '04005000013' '04005000020']
102,['04005000001' '04005000014' '04005000015' '04005000019']
103,"['04005000001' '04005000003' '04005000006' '04005000009' '04005000010'
 '04005000013' '04005000014']"
104,['04005000010' '04005000012' '04005000014' '04005000020']
105,"['04005000001' '04005000003' '04005000011' '04005000012' '04005000013'
 '04005000019' '04005000020' '04005000023']"
106,"['04005000001' '04005000002' '04005000008' '04005000011' '04005000016'
 '04005000017' '04005000019' '04005000024' '04005000025' '04005000026']"
107,['04005000008' '04005000015' '04005000017' '04005000051']
108,['04005000015' '04005000016' '04005000018' '04005000026' '04005000051']
109,['04005000017' '04005000026' '04005000050' '04005000051' '04005000086']
110,"['04005000011' '04005000014' '04005000015' '04005000020' '04005000023'
 '04005000024' '04005000025']"
111,"['04005000007' '04005000009' '04005000010' '04005000013' '04005000014'
 '04005000019' '04005000021' '04005000023']"
112,"['04005000006' '04005000007' '04005000020' '04005000022' '04005000023'
 '04005000062' '04005000084']"
113,['04005000021' '04005000023' '04005000062' '04005000063']
114,"['04005000014' '04005000019' '04005000020' '04005000021' '04005000022'
 '04005000024' '04005000063']"
115,"['04005000015' '04005000019' '04005000023' '04005000025' '04005000026'
 '04005000063' '04005000092']"
116,['04005000015' '04005000019' '04005000024']
117,"['04005000015' '04005000017' '04005000018' '04005000024' '04005000050'
 '04005000086' '04005000092']"
118,"['04005000056' '04005000062' '04005000079' '04005000082' '04005000084'
 '04005000099' '04025000090']"
119,"['04005000053' '04005000063' '04005000092' '04007000035' '04007000039'
 '04007000051' '04025000030']"
120,"['04005000043' '04005000047' '04005000058' '04005000075' '04005000094'
 '04005000095']"
121,"['04005000042' '04005000048' '04005000051' '04005000055' '04005000056'
 '04005000058' '04005000059' '04005000069' '04005000070' '04005000088'
 '04005000095' '04005000097']"
122,"['04005000042' '04005000065' '04005000067' '04005000075' '04005000093'
 '04005000094']"
123,"['04005000043' '04005000070' '04005000088' '04005000090' '04005000093'
 '04017000020' '04017000030' '04017000034']"
124,['04005000018' '04005000026' '04005000085' '04005000086' '04005000092']
125,"['04005000005' '04005000008' '04005000016' '04005000017' '04005000018'
 '04005000043' '04005000052' '04005000055' '04005000069' '04005000085'
 '04005000086' '04005000092']"
126,['04005000051' '04005000085' '04005000092']
