,neighbors
87,['32003001381' '32003001384' '32003001919']
88,"['32003001309' '32003001361' '32003001365' '32003001371' '32003001374'
 '32003001375' '32003001376' '32003001377' '32003001378' '32003001379'
 '32003001380' '32003001381' '32003001382' '32003001385' '32003001386'
 '32003001387' '32003001390' '32003001525' '32003001528' '32003001533'
 '32003001543' '32003001552' '32003001711' '32003001713' '32003001732'
 '32003001907' '32003001908' '32003001909' '32003001917' '32003001918'
 '32003001919' '32003001920' '32003001922' '32003001923' '32003001924'
 '32003001925' '32003001926' '32003001928' '32003001929' '32003001943'
 '32003001959' '32003001960' '32003001964']"
89,['32003001380' '32003001384' '32003001918']
90,['32003001384']
91,['32003001384']
92,['32003001328' '32003001356' '32003001390' '32003001668']
93,"['32003001328' '32003001348' '32003001349' '32003001353' '32003001356'
 '32003001361' '32003001367' '32003001368' '32003001384' '32003001389'
 '32003001391' '32003001394' '32003001395' '32003001608' '32003001668'
 '32003001711' '32003001715' '32003001906' '32003001922']"
94,"['32003001353' '32003001390' '32003001396' '32003001606' '32003001608'
 '32003001673' '32003007651' '32003007652' '32003007653']"
95,['32003001390' '32003001395' '32003001608']
96,"['32003001390' '32003001394' '32003001520' '32003001521' '32003001608'
 '32003001715' '32003001722' '32003001922']"
97,"['32003001391' '32003001410' '32003001411' '32003001606' '32003001608'
 '32003007651' '32003007652']"
98,"['32003001396' '32003001411' '32003001606' '32003001672' '32003001674'
 '32003001675' '32003007644' '32003007651']"
99,"['32003001396' '32003001410' '32003001520' '32003001550' '32003001606'
 '32003001608' '32003001675']"
100,['32003001525' '32003001528' '32003001552' '32003001720' '32003001727']
101,"['32003001511' '32003001518' '32003001519' '32003001550' '32003001718'
 '32003001935']"
102,['32003001510' '32003001518' '32003001520' '32003001550']
103,"['32003001514' '32003001517' '32003001674' '32003001935' '32003007624'
 '32003007625' '32003007631' '32003007641']"
104,"['32003001513' '32003001935' '32003007612' '32003007615' '32003007624'
 '32003007625']"
105,['32003001513' '32003001674' '32003007641' '32003007642']
106,"['32003001510' '32003001511' '32003001519' '32003001520' '32003001717'
 '32003001718' '32003001721' '32003001722']"
107,['32003001510' '32003001518']
108,"['32003001395' '32003001411' '32003001511' '32003001518' '32003001550'
 '32003001608' '32003001722']"
109,['32003001395' '32003001715' '32003001721' '32003001722']
110,"['32003001384' '32003001509' '32003001552' '32003001712' '32003001713'
 '32003001717' '32003001720' '32003001721']"
111,"['32003001384' '32003001509' '32003001552' '32003001727' '32003001935'
 '32003001943']"
112,"['32003001365' '32003001384' '32003001543' '32003001925' '32003001928'
 '32003001929' '32003006488' '32003006500' '32003006600']"
113,['32003001384' '32003001533']
