,neighbors
63,['39003002ACW' '39003002ADC' '39003002ADD' '39003002ADQ']
64,"['39003002ADU' '39003002ADW' '39003002AEE' '39003002AEQ' '39003002AFB'
 '39011006ABP' '39065033AAX' '39065033ABE' '39065033ABK']"
65,['39003002ADT']
66,['39003002ADT' '39003002AEZ' '39003002AFB' '39011006ABL' '39011006ABP']
67,"['39003002AAH' '39003002ACY' '39003002ADZ' '39003002AEB' '39003002AEY'
 '39003002AGN']"
68,"['39003002ADY' '39003002AEA' '39003002AEB' '39003002AEN' '39003002AEX'
 '39003002AEY' '39003002AFF']"
69,['39003002ADZ' '39003002AEB' '39003002AED' '39003002AEN' '39003002AEQ']
70,"['39003002AAH' '39003002ADY' '39003002ADZ' '39003002AEA' '39003002AEC'
 '39003002AED']"
71,"['39003002AAH' '39003002AAJ' '39003002AAY' '39003002AEB' '39003002AED'
 '39003002AEG']"
72,"['39003002AEA' '39003002AEB' '39003002AEC' '39003002AEE' '39003002AEF'
 '39003002AEG' '39003002AEN' '39003002AEQ']"
73,['39003002ADT' '39003002AED' '39003002AEF' '39003002AEQ' '39003002AFB']
74,['39003002AED' '39003002AEE' '39003002AEG' '39003002AFB']
75,"['39003002AAY' '39003002ABT' '39003002AEC' '39003002AED' '39003002AEF'
 '39003002AFB']"
76,"['39003002ADZ' '39003002AEA' '39003002AED' '39003002AEQ' '39003002AEX'
 '39003002AFF' '39063032ACI' '39065033AAX']"
77,['39003002AEQ']
78,"['39003002ADT' '39003002AEA' '39003002AED' '39003002AEE' '39003002AEN'
 '39003002AEO' '39003002AFB' '39065033AAX' '39065033ABE']"
79,"['39003002ACU' '39003002ACW' '39003002AET' '39003002AGN' '39137069AAG'
 '39137069ABO']"
80,"['39003002AAA' '39003002AAC' '39003002AAE' '39003002AAG' '39003002ACU'
 '39003002AES' '39003002AGI' '39137069AAG' '39161081AAX' '39161081ABJ'
 '39161081ABK']"
81,['39003002AEY']
82,"['39003002ADZ' '39003002AEN' '39003002AEY' '39003002AFF' '39003002AFG'
 '39137069ABF']"
83,"['39003002ADY' '39003002ADZ' '39003002AEW' '39003002AEX' '39003002AGN'
 '39137069ABF' '39137069ABO']"
84,"['39003002ADW' '39003002AFB' '39003002AFC' '39003002AGD' '39011006AAP'
 '39011006ABL' '39011006ABP']"
85,"['39003002ABT' '39003002ADT' '39003002ADW' '39003002AEE' '39003002AEF'
 '39003002AEG' '39003002AEQ' '39003002AEZ' '39003002AFC']"
86,"['39003002ABR' '39003002ABT' '39003002ABZ' '39003002AEZ' '39003002AFB'
 '39003002AFQ' '39003002AGD']"
87,['39003002AFF']
88,"['39003002ADZ' '39003002AEN' '39003002AEX' '39003002AFE' '39003002AFG'
 '39003002AFJ' '39003002AFK' '39063032ACI' '39065033AAX']"
89,"['39003002AEX' '39003002AFF' '39003002AFI' '39003002AFJ' '39003002AFK'
 '39063032ACI' '39063032ACN' '39137069ABF' '39137069ABK']"
90,['39003002AFG' '39003002AFJ' '39003002AFK' '39063032ACI']
91,['39003002AFF' '39003002AFG' '39003002AFI' '39003002AFK']
92,['39003002AFF' '39003002AFG' '39003002AFI' '39003002AFJ' '39063032ACI']
93,['39003002ACT' '39003002ACU' '39003002ADF' '39003002AFO' '39003002AFT']
94,"['39003002ABH' '39003002ADF' '39003002ADG' '39003002ADI' '39003002AFN'
 '39003002AFP' '39003002AFQ' '39003002AFR' '39003002AFS' '39003002AFT'
 '39003002AGB']"
95,"['39003002ABH' '39003002ABI' '39003002ABW' '39003002AFO' '39003002AFQ'
 '39003002AFR']"
96,"['39003002ABW' '39003002ABZ' '39003002AFC' '39003002AFO' '39003002AFP'
 '39003002AFR' '39003002AFS' '39003002AGB' '39003002AGC' '39003002AGD']"
97,['39003002AFO' '39003002AFP' '39003002AFQ' '39003002AFS']
98,['39003002AFO' '39003002AFQ' '39003002AFR']
99,"['39003002ACT' '39003002AFN' '39003002AFO' '39003002AFU' '39003002AFV'
 '39003002AGB']"
100,['39003002AFT' '39003002AFV' '39003002AGB']
101,"['39003002ACT' '39003002AFT' '39003002AFU' '39003002AGB' '39003002AGC'
 '39003002AGD' '39011006AAP' '39011006AAR' '39011006ABC' '39011006ABR']"
102,"['39003002AFO' '39003002AFQ' '39003002AFT' '39003002AFU' '39003002AFV'
 '39003002AGC']"
103,['39003002AFQ' '39003002AFV' '39003002AGB' '39003002AGD']
104,"['39003002ABZ' '39003002AEZ' '39003002AFC' '39003002AFQ' '39003002AFV'
 '39003002AGC' '39011006AAP' '39011006AAS' '39011006ABR']"
105,"['39003002ACT' '39003002ACU' '39003002AET' '39003002AGK' '39003002AGL'
 '39011006ABC' '39011006ABK' '39161081AAX']"
106,['39003002AGI' '39003002AGL']
107,['39003002AGI' '39003002AGK']
108,"['39003002ACW' '39003002ACX' '39003002ACY' '39003002ADY' '39003002AES'
 '39003002AEY' '39137069ABO']"
109,"['39005003AAB' '39005003AAD' '39005003AAF' '39005003AAH' '39005003AAJ'
 '39005003ACH']"
110,['39005003AAA' '39005003AAH' '39005003AAQ' '39005003AAU' '39005003ACH']
111,['39005003AAA' '39005003AAF' '39005003AAJ' '39005003ABZ' '39005003ACA']
112,['39005003AAA' '39005003AAD' '39005003ACA' '39005003ACH']
113,['39005003AAH' '39005003AAJ' '39005003ABB' '39005003ABC' '39005003ABZ']
114,"['39005003AAA' '39005003AAB' '39005003AAG' '39005003AAJ' '39005003AAQ'
 '39005003ABB' '39005003ABZ']"
115,"['39005003AAA' '39005003AAD' '39005003AAG' '39005003AAH' '39005003ABZ'
 '39005003ACA']"
116,"['39005003AAB' '39005003AAH' '39005003AAS' '39005003AAU' '39005003AAV'
 '39005003AAZ' '39005003ABB']"
117,['39005003AAQ' '39005003AAU' '39005003AAV']
118,"['39005003AAB' '39005003AAQ' '39005003AAS' '39005003AAV' '39005003ACE'
 '39005003ACF' '39005003ACH']"
119,"['39005003AAQ' '39005003AAS' '39005003AAU' '39005003AAZ' '39005003ABB'
 '39005003ACF']"
120,['39005003AAQ' '39005003AAV' '39005003ABB' '39005003ABC' '39005003ACF']
