,neighbors
76,"['48009000004' '48009000005' '48009000008' '48009000011' '48077000017'
 '48077000020' '48077000032']"
77,['48009000003' '48009000005' '48077000032' '48237000006' '48503000016']
78,"['48009000003' '48009000004' '48009000006' '48009000008' '48503000016'
 '48503000020' '48503000023']"
79,"['48009000002' '48009000005' '48009000007' '48009000008' '48009000009'
 '48503000020' '48503000023']"
80,['48009000006' '48009000009' '48023000003' '48447004005' '48503000023']
81,['48009000002' '48009000003' '48009000005' '48009000006' '48009000011']
82,['48009000001' '48009000002' '48009000006' '48009000007' '48023000003']
83,['48009000002' '48485000107' '48485000114']
84,['48009000002' '48009000003' '48009000008' '48077000017' '48485000107']
85,"['48011000201' '48011000202' '48011000301' '48011000401' '48011000402'
 '48065000101' '48065000201']"
86,['48011000101' '48011000202' '48011000301']
87,"['48011000101' '48011000201' '48011000301' '48045000002' '48065000101'
 '48065000201' '48129000101' '48129000102' '48129000201' '48179000003']"
88,"['48011000101' '48011000201' '48011000202' '48011000303' '48011000401'
 '48011000402' '48011000404' '48045000002' '48045000004' '48381000306']"
89,['48011000301' '48045000004' '48381000306' '48437000002' '48437000009']
90,['48011000101' '48011000301' '48011000402']
91,"['48011000101' '48011000301' '48011000401' '48011000404' '48065000201'
 '48375000327' '48381000110']"
92,['48011000301' '48011000402' '48381000110' '48381000306']
93,"['48013000003' '48013000009' '48013000013' '48013000015' '48013000021'
 '48013000022']"
94,"['48013000010' '48013000023' '48013000024' '48029001063' '48029001065'
 '48029001066']"
95,"['48013000001' '48013000013' '48013000015' '48013000017' '48013000019'
 '48013000020']"
96,"['48013000006' '48013000011' '48013000021' '48255000007' '48297000007'
 '48297000008' '48311000003' '48493000208']"
97,"['48013000007' '48013000008' '48013000016' '48013000023' '48029001063'
 '48029001123']"
98,"['48013000004' '48013000014' '48013000018' '48013000021' '48311000003'
 '4831100002A']"
99,"['48013000005' '48013000015' '48013000016' '48013000022' '48029001058'
 '48029001107' '48029001123']"
100,"['48013000005' '48013000010' '48013000013' '48013000016' '48013000017'
 '48013000018' '48013000023']"
101,['48013000001' '48013000021' '48013000022' '48493000104' '48493000208']
102,"['48013000002' '48013000008' '48013000018' '48013000023' '48013000024'
 '48163000005' '4832500004B']"
103,"['48013000004' '48255000007' '48255000011' '48255000013' '48297000007'
 '48297000008']"
104,"['48013000024' '48029001066' '48029001067' '4832500002C' '4832500003C'
 '4832500004C']"
105,"['48013000001' '48013000003' '48013000008' '48013000014' '48013000017'
 '48013000018' '48013000019' '48013000020' '48013000021']"
106,['48013000006' '48013000013' '48013000018' '48013000021']
107,"['48013000001' '48013000003' '48013000007' '48013000016' '48013000017'
 '48013000022']"
108,['48013000005' '48013000007' '48013000008' '48013000015' '48013000017']
109,"['48013000003' '48013000008' '48013000013' '48013000015' '48013000016'
 '48013000020']"
110,"['48013000006' '48013000008' '48013000010' '48013000013' '48013000014'
 '48163000004' '48163000005' '48283000004' '4831100002A']"
111,['48013000003' '48013000013']
112,['48013000003' '48013000013' '48013000017']
113,"['48013000001' '48013000004' '48013000006' '48013000009' '48013000013'
 '48013000014' '48493000208']"
114,"['48013000001' '48013000007' '48013000009' '48013000015' '48029001057'
 '48029001102' '48029001107' '48493000104' '48493000208']"
115,"['48013000002' '48013000005' '48013000008' '48013000010' '48029001063'
 '48029001065']"
116,"['48013000002' '48013000010' '48013000012' '48029001065' '48029001066'
 '4832500004B' '4832500004C']"
117,"['48015000102' '48015000103' '48015000104' '48015000205' '48015000211'
 '48473000311' '48473000414' '48473000415']"
118,"['48015000101' '48015000103' '48473000101' '48473000103' '48473000311'
 '48477000203']"
119,"['48015000101' '48015000102' '48015000205' '48015000206' '48477000203'
 '48477000208']"
120,"['48015000101' '48015000205' '48015000211' '48015000312' '48015000313'
 '48015000314' '48015000417' '48473000415']"
121,"['48015000101' '48015000103' '48015000104' '48015000206' '48015000207'
 '48015000211']"
122,['48015000103' '48015000205' '48015000207' '48015000208' '48477000208']
123,"['48015000205' '48015000206' '48015000208' '48015000209' '48015000210'
 '48015000211']"
124,['48015000206' '48015000207' '48015000210' '48477000208' '48477000413']
125,['48015000207' '48015000210' '48015000211' '48089000302' '48089000303']
126,"['48015000207' '48015000208' '48015000209' '48089000302' '48149000005'
 '48149000007' '48477000413']"
127,"['48015000101' '48015000104' '48015000205' '48015000207' '48015000209'
 '48015000312' '48089000303' '48089000304']"
128,"['48015000104' '48015000211' '48015000314' '48015000416' '48089000304'
 '48089000402']"
129,['48015000104' '48015000314' '48015000416' '48015000417' '48015000418']
130,['48015000104' '48015000312' '48015000313' '48015000416']
131,"['48015000416' '48015000418' '48089000402' '48157001008' '48157003019'
 '48481000201']"
132,"['48015000312' '48015000313' '48015000314' '48015000415' '48015000418'
 '48089000304' '48089000402']"
133,['48015000104' '48015000313' '48015000418' '48473000415' '48473000416']
134,"['48015000313' '48015000415' '48015000416' '48015000417' '48157003019'
 '48473000416']"
135,"['48017000002' '48017000003' '48017000004' '48279000003' '48279000004'
 '48279000011' '48369000302' '48369000401']"
136,['48017000001' '48017000003' '48369000301' '48369000302']
137,['48017000001' '48017000002' '48017000004' '48079000404']
138,"['48017000001' '48017000003' '48079000101' '48079000404' '48219000033'
 '48279000004' '48279000009' '48279000011']"
139,['48019000102' '48019000305' '48019000407' '48265000202' '48265000308']
140,"['48019000101' '48019000203' '48019000407' '48029003012' '48029003126'
 '48259001110' '48265000308' '4832500001C']"
141,['48019000102' '48019000204' '48019000407' '48019000409' '4832500001C']
142,['48019000203' '48019000409' '4832500001B' '4832500001C']
143,['48019000101' '48019000306' '48019000407' '48265000202']
144,"['48019000305' '48019000407' '48019000408' '48019000410' '48265000107'
 '48265000202' '48265000215' '48265000405']"
145,"['48019000101' '48019000102' '48019000203' '48019000305' '48019000306'
 '48019000408' '48019000409' '4832500001A' '4832500001B']"
146,['48019000306' '48019000407' '48019000410' '4832500001A']
147,['48019000203' '48019000204' '48019000407' '4832500001A' '4832500001B']
148,"['48019000306' '48019000408' '48265000405' '4832500001A' '48385000001'
 '48385000002' '48463000003']"
149,['48021001002' '48021001022' '48021002008' '48021002009']
150,"['48021001001' '48021001004' '48021001022' '48021002009' '48021002011'
 '48021004021']"
151,"['48021001022' '48021003016' '48021004019' '48453000114' '48453000138'
 '48453000401']"
152,['48021001002' '48021002010' '48021002011' '48021004021']
153,"['48021001001' '48021001002' '48021001003' '48021002007' '48021002008'
 '48021003012' '48021003016' '48021004019' '48021004021']"
154,['48021002006' '48021002007' '48021002008' '48149000013' '48149000015']
155,"['48021002005' '48021002008' '48021002009' '48021002010' '48149000011'
 '48149000013' '48287000201' '48287000202']"
156,"['48021001022' '48021002005' '48021002008' '48021003012' '48021003013'
 '48055000204' '48055000205' '48149000013' '48149000015']"
157,"['48021001001' '48021001022' '48021002005' '48021002006' '48021002007'
 '48021002009']"
158,"['48021001001' '48021001002' '48021002006' '48021002008' '48021002010'
 '48021002011']"
159,"['48021001004' '48021002006' '48021002009' '48021002011' '48021004021'
 '48287000201' '48287000202' '48287000203']"
160,['48021001002' '48021001004' '48021002009' '48021002010']
161,['48021001022' '48021002007' '48021003013' '48021003016']
162,"['48021002007' '48021003012' '48021003014' '48021003016' '48055000204'
 '48055000405']"
163,"['48021003013' '48021003015' '48021003016' '48055000306' '48055000404'
 '48055000405']"
164,"['48021003014' '48021003016' '48055000306' '48055000404' '48453000402'
 '48453000403']"
165,"['48021001003' '48021001022' '48021003012' '48021003013' '48021003014'
 '48021003015' '48453000401' '48453000402']"
166,['48021004018' '48021004019' '48021004020' '48453000106' '48453000107']
167,"['48021004017' '48021004020' '48021004021' '48287000303' '48453000106'
 '48453000107' '48491000434']"
168,"['48021001003' '48021001022' '48021004017' '48021004020' '48021004021'
 '48453000106' '48453000114' '48453000138']"
169,['48021004017' '48021004018' '48021004019' '48021004021']
170,"['48021001002' '48021001004' '48021001022' '48021002010' '48021004018'
 '48021004019' '48021004020' '48287000203' '48287000303' '48287000304']"
171,"['48023000002' '48023000003' '48023000004' '48155000101' '48275000302'
 '48275000401' '48487000021']"
172,['48023000001' '48023000003' '48023000004' '48487000001' '48487000021']
173,"['48009000001' '48009000007' '48009000009' '48023000001' '48023000002'
 '48023000004' '48447000001' '48447004005' '48485000106' '48487000001'
 '48487000020' '48503000023']"
174,"['48023000001' '48023000002' '48023000003' '48207000008' '48275000302'
 '48275000401' '48447000001' '48447004005']"
175,"['48025000003' '48025000004' '48025000005' '48025000006' '48025000008'
 '48025000010' '48025000016' '48025000017' '48025000018' '48025000019'
 '48175000011' '48175000022' '48391000002' '48391000003' '4839100003A']"
176,"['48025000005' '48025000008' '48025000011' '48025000012' '48025000013'
 '48025000018' '48297000005' '48297000006']"
177,['48025000001' '48025000006' '48025000010' '48025000013']
178,"['48025000001' '48025000006' '48025000014' '48391000002' '48409000111'
 '48409000117']"
179,"['48025000001' '48025000002' '48025000008' '48025000011' '48025000012'
 '48175000022' '48255000004' '48255000009']"
180,"['48025000001' '48025000003' '48025000004' '48025000013' '48025000014'
 '48297000001' '48297000013']"
181,['48025000001' '48025000002' '48025000005' '48025000012' '48025000018']
182,['48025000010' '48025000013' '48025000017' '48025000019']
183,['48025000001' '48025000003' '48025000009' '48025000013' '48025000019']
