,neighbors
73,['17001023006' '17001023007' '17001023013' '17001023019' '17001023039']
74,['17003000102' '17003000103']
75,['17003000101' '17003000103' '17003000104']
76,['17003000101' '17003000102' '17003000104' '17003000105' '17003000201']
77,['17003000102' '17003000103' '17003000105']
78,['17003000103' '17003000104' '17003000201']
79,"['17003000103' '17003000105' '17003000301' '17003000901' '17153000401'
 '17153000501' '17153000502']"
80,"['17003000201' '17003000401' '17003000601' '17003000801' '17003000901'
 '17153000502' '17153000801' '17153001001']"
81,"['17003000301' '17003000601' '17003000801' '17153000701' '17153000801'
 '17153000901' '17181000113' '17181000116']"
82,['17003000301' '17003000401' '17003000801' '17181000113']
83,['17003000301' '17003000401' '17003000601' '17003000901']
84,['17003000201' '17003000301' '17003000801']
85,['1700500BG02' '1700500BG03' '1700500CN05' '1700500ML00' '1700500OR00']
86,['1700500BG01' '1700500BG03' '1700500ML00' '17027001002' '17027002001']
87,"['1700500BG01' '1700500BG02' '1700500OR00' '17027001002' '17119000101'
 '17119000202' '17119000203' '17119000204' '17119000301']"
88,"['1700500CN02' '1700500CN06' '1700500CN1A' '1700500LG01' '1700500LG02'
 '1700500MG02' '1700500PM01']"
89,['1700500CN01' '1700500CN03' '1700500CN06' '1700500CN1A' '1700500PM01']
90,['1700500CN02' '1700500CN04' '1700500CN06' '1700500PM01']
91,['1700500CN03' '1700500CN05' '1700500CN06' '1700500CN07' '1700500PM01']
92,"['1700500BG01' '1700500CN04' '1700500CN07' '1700500ML00' '1700500OR00'
 '1700500PM01' '1700500TM01']"
93,"['1700500CN01' '1700500CN02' '1700500CN03' '1700500CN04' '1700500CN07'
 '1700500LG01' '1700500OR00' '1700500SH01']"
94,['1700500CN04' '1700500CN05' '1700500CN06' '1700500OR00']
95,['1700500CN01' '1700500CN02' '1700500PM01']
96,"['1700500CN01' '1700500CN06' '1700500LG02' '1700500OR00' '1700500SH01'
 '1700500SH02' '17135000401' '17135000402' '17135000602']"
97,"['1700500CN01' '1700500LG01' '1700500MG02' '1700500PM01' '17135000401'
 '17135000501']"
98,"['1700500MG02' '1700500PM01' '1700500PM02' '1705100BG01' '1705100ST01'
 '17135000501']"
99,"['1700500CN01' '1700500LG02' '1700500MG01' '1700500PM01' '17135000401'
 '17135000501']"
100,"['1700500BG01' '1700500BG02' '1700500CN05' '1700500OR00' '1700500PM01'
 '1700500TM01' '1700500TM02' '17027001002' '17027002001' '17027003001']"
101,"['1700500BG01' '1700500BG03' '1700500CN05' '1700500CN06' '1700500CN07'
 '1700500LG01' '1700500ML00' '1700500SH01' '1700500SH04' '17119000202'
 '17119000301' '17119000401']"
102,"['1700500CN01' '1700500CN02' '1700500CN03' '1700500CN04' '1700500CN05'
 '1700500CN1A' '1700500LG02' '1700500MG01' '1700500MG02' '1700500ML00'
 '1700500PM02' '1700500TM01']"
103,['1700500MG01' '1700500PM01' '1700500TM01' '1705100BG01' '1705100SM01']
104,"['1700500CN06' '1700500LG01' '1700500OR00' '1700500SH02' '1700500SH03'
 '1700500SH04']"
105,"['1700500LG01' '1700500SH01' '1700500SH03' '17135000402' '17135000601'
 '17135000602']"
106,"['1700500SH01' '1700500SH02' '1700500SH04' '17119000401' '17135000601'
 '17135001701']"
107,['1700500OR00' '1700500SH01' '1700500SH03' '17119000401']
108,"['1700500CN05' '1700500ML00' '1700500PM01' '1700500PM02' '1700500TM02'
 '1705100SM01']"
109,"['1700500ML00' '1700500TM01' '17027002001' '17027003001' '17027004001'
 '1705100PO01' '1705100SM01']"
110,['17007001002' '17007001004' '17007001010' '17007001014' '17007002001']
111,['17007001001' '17007001003' '17007001004' '17007001010']
112,"['17007001002' '17007001004' '17007001005' '17007001010' '17007001012'
 '17007001017']"
113,['17007001001' '17007001002' '17007001003' '17007001017' '17007002001']
114,"['17007001003' '17007001006' '17007001010' '17007001011' '17007001012'
 '17007001017']"
115,['17007001005' '17007001007' '17007001011' '17007001012' '17007001017']
116,['17007001006' '17007001008' '17007001011' '17007001016' '17007001017']
117,['17007001007' '17007001011' '17007001016' '17007001017' '17007001022']
118,['17007001010' '17007001014' '17007001015' '17007006003']
119,"['17007001001' '17007001002' '17007001003' '17007001005' '17007001009'
 '17007001012' '17007001014' '17007001015' '17007001016' '17007006001'
 '17007006003']"
120,"['17007001005' '17007001006' '17007001007' '17007001008' '17007001012'
 '17007001016' '17007001017' '17007001022']"
121,"['17007001003' '17007001005' '17007001006' '17007001010' '17007001011'
 '17007001016']"
122,['17007001014' '17007001015' '17007002001']
123,"['17007001001' '17007001009' '17007001010' '17007001013' '17007001015'
 '17007002001']"
124,"['17007001009' '17007001010' '17007001013' '17007001014' '17007002001'
 '17007005001' '17007006001' '17007006003']"
125,"['17007001007' '17007001008' '17007001010' '17007001011' '17007001012'
 '17007001017' '17007001021' '17007001022' '17007003001' '17007006001'
 '17007006002' '17007006003' '17007009001' '17007009002']"
126,"['17007001003' '17007001004' '17007001005' '17007001006' '17007001007'
 '17007001008' '17007001011' '17007001016' '17007001018' '17007001022'
 '17007002001' '1720100Ro30' '1720100Ro33']"
127,['17007001017' '17007001019' '17007001022' '17201000107' '1720100Ro33']
128,['17007001018' '17007001020' '17007001021' '17007001022' '1720100Ro33']
129,['17007001019' '17007001021' '17007003001' '1720100Ha01' '1720100Ro33']
130,['17007001016' '17007001019' '17007001020' '17007001022' '17007003001']
131,"['17007001008' '17007001011' '17007001016' '17007001017' '17007001018'
 '17007001019' '17007001021']"
132,"['17007001001' '17007001004' '17007001013' '17007001014' '17007001015'
 '17007001017' '17007002002' '17007005001' '17007006003' '1720100Ch01'
 '1720100Ro30']"
133,"['17007002001' '17007005001' '1703700FR01' '1703700KI01' '17141000034'
 '1720100Ch01' '1720100Ch04']"
134,"['17007001016' '17007001020' '17007001021' '17007003002' '17007003003'
 '17007004001' '17007009001' '17007009002' '1720100Ha01' '1720100Ha23'
 '1720100Ha24' '1720100Ro33' '1720100Rs06']"
135,['17007003001' '17007003003']
136,['17007003001' '17007003002' '17007009002' '17007009003']
137,"['17007003001' '17007008001' '17007009002' '1720100Ha24' '1720100Rs02'
 '1720100Rs03' '1720100Rs06' '1720100Rs09']"
138,"['17007001015' '17007002001' '17007002002' '17007006001' '17007006003'
 '1703700FR01' '1703700GE01' '1703700KI01' '1711100Ma01' '1711100RL01']"
