,neighbors
72,"['3700500006A' '37009000009' '37009000011' '37009000013' '37193000114'
 '37193000125']"
73,"['37009000004' '37009000013' '37009000014' '37009000020' '37189000018'
 '3719300113A']"
74,['37009000002' '37009000006' '37009000007' '37009000008' '37009000011']
75,['37009000002' '37009000007' '37009000008' '37009000010']
76,"['37009000002' '37009000003' '37009000009' '37009000011' '37009000013'
 '37009000014' '37009000016']"
77,"['37011000009' '37011000010' '37011000015' '37011000016' '37011000018'
 '37023000018' '37111N.COVE']"
78,"['37011000003' '37011000005' '37011000008' '37011000011' '37011000013'
 '37011000014' '37189000017' '37189000019' '37189000020']"
79,"['37011000002' '37011000006' '37011000008' '37189000002' '37189000010'
 '37189000020']"
80,['37011000011' '37011000016' '37023000018' '3702700PR07']
81,['37011000002' '37011000006' '37011000008' '37011000012' '37011000014']
82,['37011000003' '37011000005' '37011000008']
83,['37011000009' '37011000012' '37011000017' '37011000019']
84,['37011000002' '37011000003' '37011000005' '37011000006']
85,"['37011000001' '37011000007' '37011000012' '37011000015' '37011000017'
 '37011000018']"
86,"['37011000001' '37011000017' '37011000018' '37111N.COVE' '37121000003'
 '37121000004']"
87,"['37011000002' '37011000004' '37011000013' '37011000016' '3702700PR07'
 '37189000019']"
88,"['37011000005' '37011000007' '37011000009' '37011000014' '37011000015'
 '37011000019']"
89,['37011000002' '37011000011' '37011000014' '37011000015' '37011000016']
90,['37011000002' '37011000005' '37011000012' '37011000013' '37011000015']
91,"['37011000001' '37011000009' '37011000012' '37011000013' '37011000014'
 '37011000016']"
92,"['37011000001' '37011000004' '37011000011' '37011000013' '37011000015'
 '37023000018']"
93,"['37011000007' '37011000009' '37011000010' '37011000018' '37011000019'
 '37121000003']"
94,['37011000001' '37011000009' '37011000010' '37011000017']
95,['37011000007' '37011000012' '37011000017' '37121000003' '37121000006']
96,"['3701300NCRK' '3701300WDPD' '370130BEADM' '370130PANTE' '370130PINET'
 '370130SURBA']"
97,"['3701300WDPD' '370130CHOCO' '370130EDWAR' '370130GILEA' '370130SURBA'
 '3704900TE13']"
98,"['370130000HB' '370130AUROR' '370130BELHV' '370130PANTE' '370130SURBA'
 '3709500SLAD' '371370004HB']"
99,"['3701300TCRK' '370130BEADM' '370130PINET' '370130PSJW3' '370130WASH2'
 '370130WASH4' '371170000GR']"
100,['3701300WDPD' '370130CHOCO' '370130GILEA' '370130WASHP']
101,"['3701300OLDF' '370130PSJW3' '370130WASH2' '371170000BG' '371170000CR'
 '371170000GR' '37147000501' '37147001201']"
102,"['370130000HB' '3701300BLCK' '3701300RVRD' '370130BEADM' '370130EDWAR'
 '370130GILEA' '370130SURBA' '370130WASHP']"
103,"['3701300NCRK' '370130EDWAR' '370130SURBA' '371370001GB' '371370003BY'
 '371370004HB' '3713704VM-A']"
104,"['370130000HB' '3701300OLDF' '3701300WDPD' '370130PINET' '370130WASH1'
 '370130WASH4' '370130WASHP']"
105,['3701300NCRK' '370130PANTE' '370950000BM' '3709500SLAD']
106,"['3701300BLCK' '3701300RVRD' '370130GILEA' '370130WASH1' '370130WASH2'
 '370130WASHP' '3704900TE13' '3704900VE14' '37147000601' '37147001101'
 '37147001201']"
107,"['3701300BLCK' '3701300WDPD' '370130AUROR' '370130SURBA' '3704900TE13'
 '371370001GB' '371370001RB']"
108,['3701300BLCK' '3701300RVRD' '3701300WDPD' '370130CHOCO']
109,"['370130000HB' '3701300NCRK' '370130BELHV' '370130PINET' '370950000BM'
 '371870000LM' '371870000P3']"
110,"['370130000HB' '3701300OLDF' '370130BEADM' '370130PANTE' '3711700000J'
 '371170000GR' '371870000P3']"
111,['3701300OLDF' '3701300TCRK' '370130WASH1' '370130WASH2' '370130WASH4']
112,"['370130000HB' '3701300BLCK' '3701300NCRK' '3701300WDPD' '370130AUROR'
 '370130EDWAR']"
113,"['370130BEADM' '370130CHOCO' '370130PSJW3' '370130WASH2' '370130WASH4'
 '370130WASHP']"
114,"['3701300OLDF' '3701300TCRK' '370130CHOCO' '370130PSJW3' '370130WASH1'
 '370130WASH4' '37147001201']"
115,['3701300OLDF' '370130BEADM' '370130PSJW3' '370130WASH1' '370130WASH2']
116,['3701300RVRD' '3701300WDPD' '370130BEADM' '370130CHOCO' '370130WASH1']
117,['370150000C2' '370150000WH' '37041000003' '37041000005' '370910000HV']
118,"['370150000C1' '370150000M1' '370150000W2' '370150000WH' '370910000A2'
 '370910000HV']"
119,['370150000SN' '370150000W1' '370150000WD' '371170000HM']
120,"['370150000C2' '370150000M2' '370150000SN' '370150000W2' '370910000A2'
 '370910000ML']"
121,['370150000M1' '370150000RX' '370150000SN' '370910000ML']
122,"['370150000W1' '370150000WH' '37041000001' '37041000002' '37041000006'
 '3711700000J' '371870000LM' '371870000P1' '371870000P2']"
123,"['370150000M2' '370150000SN' '370150000WD' '37083000HPR' '370910000ML'
 '37131RICH-S']"
124,"['370150000IW' '370150000M1' '370150000M2' '370150000RX' '370150000W1'
 '370150000W2' '370150000WD']"
125,"['370150000IW' '370150000MH' '370150000SN' '370150000W2' '370150000WH'
 '3711700000J' '3711700000W' '371170000HM' '371170000W1' '371170000W2']"
126,['370150000C2' '370150000M1' '370150000SN' '370150000W1' '370150000WH']
127,"['370150000IW' '370150000RX' '370150000SN' '37083000HPR' '371170000GN'
 '371170000HM']"
128,"['370150000C1' '370150000C2' '370150000MH' '370150000W1' '370150000W2'
 '37041000002' '37041000003']"
129,['37017000P25' '3701700P201' '3701700P202' '3701700P501' '37047000P18']
130,"['37017000P35' '37017000P60' '37017000P80' '3701700P202' '3701700P501'
 '37155000008' '37155000041']"
131,"['37017000P10' '37017000P75' '3701700P501' '3701700P502' '37047000P17'
 '37047000P18']"
132,"['37017000P55' '37017000P75' '37047000P14' '3704700P02B' '3704700P16B'
 '3714100CT03']"
133,"['37017000P15' '37017000P40' '37017000P70' '37017000P80' '3701700P501'
 '3701700P502']"
134,"['37017000P35' '37017000P45' '37017000P55' '37017000P65' '37017000P70'
 '37017000P75' '3701700P502']"
135,['37017000P40' '37017000P65' '37017000P70' '3716300GARL' '3716300LAKE']
136,"['37017000P30' '37017000P40' '37017000P65' '37017000P75' '37047000P14'
 '3714100CS04' '3714100CT03']"
137,"['37017000P15' '37017000P80' '37051000G6C' '3705100AL51' '37155000008'
 '37155000009' '3715500032A']"
138,"['37017000P40' '37017000P45' '37017000P55' '3714100CS04' '3716300GARL'
 '3716300HARR']"
139,"['37017000P35' '37017000P40' '37017000P45' '37017000P80' '37051000G6B'
 '3716300LAKE']"
140,"['37017000P25' '37017000P30' '37017000P40' '37017000P55' '3701700P502'
 '37047000P17' '37047000P18' '3704700P16B']"
141,"['37017000P15' '37017000P35' '37017000P60' '37017000P70' '37051000G6B'
 '37051000G6C' '3705100AL51']"
142,['37017000P10' '3701700P202' '37047000P15' '37047000P18' '37155000041']
143,['37017000P10' '37017000P15' '3701700P201' '3701700P501' '37155000041']
144,"['37017000P10' '37017000P15' '37017000P25' '37017000P35' '3701700P202'
 '3701700P502']"
145,['37017000P25' '37017000P35' '37017000P40' '37017000P75' '3701700P501']
146,['37019000002' '37019000005' '37047000P14' '3714100CT03']
147,"['37019000001' '37019000003' '37019000005' '370190004B2' '3712900CF01'
 '3714100CT03' '3714100GR06']"
148,['37019000002' '3701900004A' '370190004B2' '37129000W03' '3712900CF01']
149,"['37019000001' '37019000002' '37019000006' '37019000011' '37019000018'
 '37019000021' '3701900004A' '370190004B2' '37047000P14']"
150,['37019000005' '37019000011' '37019000021' '3701900010A' '3701900010B']
151,"['37019000008' '37019000009' '37019000021' '37019000022' '3701900004A'
 '3701900010B' '3712900FP03' '3712900FP07' '3712900FP08']"
152,['37019000007' '37019000009' '37019000022' '3701900010B']
153,['37019000007' '37019000008' '37019000022']
154,"['37019000005' '37019000006' '37019000012' '37019000013' '37019000018'
 '3701900010A' '37047000P14']"
155,['37019000011' '37019000013' '37019000020' '37019000023' '3701900010A']
156,"['37019000011' '37019000012' '37019000014' '37019000015' '37019000017'
 '37019000018' '37019000020']"
157,['37019000013' '37019000015' '37019000020']
158,['37019000013' '37019000014' '37019000016' '37019000017' '37019000020']
159,['37019000015' '37019000017' '37019000019']
160,"['37019000013' '37019000015' '37019000016' '37019000018' '37019000019'
 '37047000P03']"
161,"['37019000005' '37019000011' '37019000013' '37019000017' '37047000P03'
 '37047000P05' '37047000P10' '37047000P12' '37047000P14' '3704700P02B']"
162,['37019000016' '37019000017']
163,"['37019000012' '37019000013' '37019000014' '37019000015' '37019000022'
 '37019000023']"
164,['37019000005' '37019000006' '37019000007' '3701900004A' '3701900010B']
165,"['37019000007' '37019000008' '37019000009' '37019000020' '37019000023'
 '3701900010A' '3701900010B' '3712900FP03']"
166,['37019000012' '37019000020' '37019000022' '3701900010A' '3701900010B']
167,"['37019000003' '37019000005' '37019000007' '37019000021' '370190004B2'
 '37129000M03' '37129000W03' '37129000W26' '37129000W30' '3712900CF01'
 '3712900FP06' '3712900FP07']"
168,"['37019000006' '37019000011' '37019000012' '37019000022' '37019000023'
 '3701900010B']"
169,"['37019000006' '37019000007' '37019000008' '37019000021' '37019000022'
 '37019000023' '3701900010A']"
170,['37019000002' '37019000003' '37019000005' '3701900004A']
171,"['370210002.1' '370210003.1' '370210007.1' '370210010.1' '370210011.1'
 '370210017.1' '370210020.1']"
172,"['370210001.1' '370210003.1' '370210011.1' '370210014.2' '370210028.1'
 '370210070.1']"
173,['370210001.1' '370210002.1' '370210017.1' '370210028.1']
174,['370210005.1' '370210017.1' '370210022.2' '370210028.1']
175,"['370210004.1' '370210022.2' '370210027.2' '370210028.1' '370210070.1'
 '370210071.1']"
176,['370210007.1' '370210009.1' '370210021.1' '370210025.1']
177,"['370210001.1' '370210006.1' '370210009.1' '370210010.1' '370210020.1'
 '370210021.1']"
178,['370210008.3' '370210019.1' '370210031.1' '370210057.1' '370210060.4']
179,"['370210008.2' '370210009.1' '370210010.1' '370210031.1' '370210060.2'
 '370210060.4']"
180,"['370210006.1' '370210007.1' '370210008.3' '370210010.1' '370210025.1'
 '370210060.2']"
181,"['370210001.1' '370210007.1' '370210008.3' '370210009.1' '370210011.1'
 '370210012.1' '370210031.1' '370210054.2']"
182,['370210001.1' '370210002.1' '370210010.1' '370210012.1' '370210014.2']
183,['370210010.1' '370210011.1' '370210013.1' '370210014.2' '370210054.2']
184,"['370210012.1' '370210014.2' '370210015.1' '370210016.2' '370210044.1'
 '370210054.2']"
185,"['370210002.1' '370210011.1' '370210012.1' '370210013.1' '370210014.3'
 '370210016.2' '370210042.1' '370210070.1']"
186,['370210014.2' '370210016.2' '370210042.1' '370210068.1']
187,['370210013.1' '370210016.2' '370210026.1' '370210044.1']
188,"['370210013.1' '370210014.2' '370210014.3' '370210015.1' '370210026.1'
 '370210043.2' '370210068.1']"
189,"['370210001.1' '370210003.1' '370210004.1' '370210020.1' '370210022.2'
 '370210023.2' '370210027.2' '370210028.1']"
190,['370210019.1' '370210031.1' '370210054.2']
191,"['370210008.2' '370210018.2' '370210029.2' '370210031.1' '370210054.2'
 '370210057.1']"
192,['370210001.1' '370210007.1' '370210017.1' '370210021.1' '370210023.2']
193,"['370210006.1' '370210007.1' '370210020.1' '370210023.2' '370210023.3'
 '370210025.1']"
194,['370210004.1' '370210005.1' '370210017.1' '370210027.2']
195,"['370210017.1' '370210020.1' '370210021.1' '370210023.3' '370210027.2'
 '370210061.1']"
196,['370210021.1' '370210023.2' '370210025.1' '370210061.1']
197,['370210026.1' '370210044.1' '370210045.1']
198,"['370210006.1' '370210009.1' '370210021.1' '370210023.3' '370210060.2'
 '370210061.1' '370210062.1' '370210064.1']"
199,"['370210015.1' '370210016.2' '370210024.1' '370210043.2' '370210044.1'
 '370210045.1']"
200,"['370210005.1' '370210017.1' '370210022.2' '370210023.2' '370210059.1'
 '370210061.1' '370210071.1']"
201,"['370210002.1' '370210003.1' '370210004.1' '370210005.1' '370210017.1'
 '370210070.1']"
202,['370210019.1' '370210054.2' '370210055.1' '370210056.2' '370210057.1']
203,['370210030.3' '370210046.1' '370210054.2' '370890000NM']
204,['370210030.2' '370210054.2' '370890000NM']
205,"['370210008.2' '370210008.3' '370210010.1' '370210018.2' '370210019.1'
 '370210054.2']"
206,"['370210033.2' '370210033.3' '370210035.1' '370210036.1' '370210037.1'
 '370210039.3' '370210050.1' '370210064.1' '370210065.1']"
207,['370210032.1' '370210033.3' '370210034.1' '370210035.1' '370210036.1']
208,['370210032.1' '370210033.2' '370210034.1' '370210035.1' '370210036.1']
209,['370210033.2' '370210033.3' '370210035.1']
210,['370210032.1' '370210033.2' '370210033.3' '370210034.1' '370210036.1']
211,"['370210032.1' '370210033.2' '370210033.3' '370210035.1' '370210037.1'
 '370210050.1' '37111FORT-1' '37111FORT-2' '3719909-SOU' '3719910-PEN']"
212,"['370210032.1' '370210036.1' '370210039.2' '370210039.3' '370890000BC'
 '37111CCREEK' '37111FORT-2' '3716100006A']"
213,"['370210038.3' '370210039.2' '370210039.3' '370210057.1' '370890000BC'
 '370890000ED' '370890000HC']"
214,['370210038.2' '370210039.3' '370210057.1' '370210060.2' '370210060.4']
215,['370210037.1' '370210038.2' '370210039.3' '370890000BC']
216,"['370210032.1' '370210037.1' '370210038.2' '370210038.3' '370210039.2'
 '370210060.2' '370210060.4' '370210064.1']"
217,['370210041.1' '370210051.2' '370210058.1' '371150BEECH' '37115MARS-H']
218,"['370210040.2' '370210052.1' '370210058.1' '370210069.1' '370210071.1'
 '371150NORTH' '371150SOUTH' '37115MARS-H']"
219,['370210014.2' '370210014.3' '370210068.1' '370210070.1']
220,['370210016.2' '370210026.1' '370210045.1' '370210068.1']
