,neighbors
70,"['13015000001' '13015000005' '13015000012' '13015000015' '13129000856'
 '13129001056']"
71,"['13015000001' '13015000005' '13015000008' '13015000011' '13015000014'
 '13115000025' '13115000030' '13115000060' '13115000130']"
72,"['13015000003' '13015000004' '13015000005' '13015000008' '13015000010'
 '13015000014' '13015000016' '13015000018']"
73,"['13015000009' '13015000015' '13057000033' '13057000041' '13129000874'
 '13129001056' '13227000004']"
74,"['13015000008' '13015000010' '13015000011' '13015000018' '13115000025'
 '13115000060' '1322300002B' '13233000001']"
75,"['13015000001' '13015000003' '13015000005' '13015000006' '13015000009'
 '13015000012' '13015000016' '13057000035' '13057000041']"
76,"['13015000003' '13015000004' '13015000005' '13015000006' '13015000007'
 '13015000011' '13015000015']"
77,['13015000004' '13015000007' '13015000011' '13015000014' '1322300002B']
78,"['13017000002' '13069000004' '13155001529' '13155001753' '132710000JA'
 '132710000MI' '1331500005A']"
79,"['13017000001' '13155000901' '13155001529' '13287000003' '1331500003A'
 '1331500004A' '1331500005A']"
80,"['13003000003' '13019001148' '13019001157' '13019001427' '13019001642'
 '13019001819' '13069000003' '13155001529' '13155001753']"
81,['13019001157' '13019001329' '13019001767' '13173000001' '13185000002']
82,['13003000003' '13019000518' '13019001157' '13019001767']
83,"['13019000518' '13019001144' '13019001148' '13019001329' '13019001427'
 '13019001767' '1307500000M' '130750000DB']"
84,"['13019001144' '13019001157' '1307500000C' '130750000DB' '13185000001'
 '13185000002']"
85,"['13019000518' '13019001157' '13019001819' '1307500000L' '1307500000M'
 '13277000006']"
86,['13019000518' '13019001819' '13155001529' '13277000003']
87,['13003000003' '13019001144' '13019001148' '13019001157' '13173000001']
88,['13019000518' '13019001427' '13019001642' '13277000003' '13277000006']
89,['13021000EM2' '13021000EM3' '13021000EM5' '13021000GF1' '13021000VV1']
90,"['13021000EM1' '13021000EM3' '13021000EM4' '13021000EM5' '13169000002'
 '13169000003']"
91,"['13021000EM1' '13021000EM2' '13021000HO4' '13021000VV1' '13169000002'
 '13169000003' '13169000009']"
92,['13021000EM2' '13021000EM5' '13169000003' '13169000010']
93,"['13021000EM1' '13021000EM2' '13021000EM4' '13021000GF1' '13021000RU2'
 '13169000010' '132890000DB' '132890000GI']"
94,"['13021000EM1' '13021000EM5' '13021000GF2' '13021000GF3' '13021000HA1'
 '13021000HA3' '13021000RU2' '13021000VV1' '13021000VV2' '13021000VV3'
 '13021000VV4' '13021000VV6']"
95,['13021000GF1' '13021000GF3' '13021000GF4' '13021000RU2']
96,"['13021000GF1' '13021000GF2' '13021000GF4' '13021000GF5' '13021000HA1'
 '13021000RU1']"
97,['13021000GF2' '13021000GF3' '13021000RU1' '13021000RU2']
98,['13021000GF3' '13021000HA1' '13021000HA3' '13021000RU1' '13021000WA2']
99,['13021000GF1' '13021000GF3' '13021000GF5' '13021000HA3']
100,['13021000HA3' '13021000HA4' '13021000HO1' '13021000HO2']
101,"['13021000GF1' '13021000GF5' '13021000HA1' '13021000HA2' '13021000HA4'
 '13021000HO2' '13021000VV4' '13021000WA1' '13021000WA2']"
102,['13021000HA2' '13021000HA3' '13021000HO1' '13021000WA1' '13207000011']
103,"['13021000HA2' '13021000HA4' '13021000HO2' '13021000HO3' '13021000HO6'
 '13021000HO7' '13021000VV4' '13021000VV6' '13207000003' '13207000011']"
104,"['13021000HA2' '13021000HA3' '13021000HO1' '13021000HO3' '13021000VV4'
 '13207000003']"
